16500	0	0	256	224	65
16501	256	0	512	224	65
16502	512	0	768	224	65
16503	768	0	1024	224	65
16504	1024	0	1280	224	65
16505	1280	0	1536	224	65
16506	1536	0	1792	224	65
16507	1792	0	2048	224	65
16508	2048	0	2304	224	65
16509	2304	0	2560	224	65
16510	2560	0	2816	224	65
16511	2816	0	3072	224	65
16512	3072	0	3328	224	65
16513	3328	0	3584	224	65
16514	3584	0	3840	224	65
16515	3840	0	4096	224	65
16516	4096	0	4352	224	65
16517	4352	0	4608	224	65
16518	4608	0	4864	224	65
16519	4864	0	5120	224	65
16520	5120	0	5376	224	65
16521	5376	0	5632	224	65
16522	5632	0	5888	224	65
16523	5888	0	6144	224	65
16524	6144	0	6400	224	65
16525	6400	0	6656	224	65
16526	6656	0	6912	224	65
16527	6912	0	7168	224	65
16528	7168	0	7424	224	65
16529	7424	0	7680	224	65
16530	7680	0	7936	224	65
16531	7936	0	8192	224	65
16532	8192	0	8448	224	65
16533	8448	0	8704	224	65
16534	8704	0	8960	224	65
16535	8960	0	9216	224	65
16536	9216	0	9472	224	65
16537	9472	0	9728	224	65


