# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\0_Object.png	255	0	255
1	textures\1_Jumper.png	255	0	255
2	textures\2_Floater.png	255	0	255
3	textures\3_Mine.png	255	0	255
4	textures\4_Dome.png	255	0	255
5	textures\5_Worm.png	255	0	255
6	textures\6_Insect.png	255	0	255
7	textures\7_Skull.png	255	0	255
9	textures\9_Orb.png	255	0	255
10	textures\10_Teleporter.png	255	0	255
12	textures\12_Eyeball.png	255	0	255
999	textures\P2_Jason.png	255	0	255
998	textures\P1_Sophia.png	255	0	255
100	textures\100-stuff.png	255	0	255
71	textures\71_BlackBullet.png	255	0	255
13	textures\13_MineBullet.png	255	0	255
14	textures\14_MineExplosion.png	255	0	255
-1	textures\Area2.png	255	0	255
22	textures\22_FloaterBullet.png	255	0	255
15	textures\Items_Objects.png	255	0	255
69	textures\69_JasonBullet.png	255	0	255
30	textures\30_Lava.png	255	0	255
31	textures\31_Ladder.png	255	0	255
23	textures\23_Spike.png	255	0	255
60	textures\60_HealthBar.png	255	0	255
61	textures\61_HovText.png	255	0	2555
23	textures\23_Spike.png	0	0	0
27	textures\27_Ship.png	255	0	255
95	textures\95-Thunder.png	255	0	255
17	textures\17_BreakableWall.png	255	0	255

# id	left	top	right	bottom	texture_id
[SPRITES]
# GUI
# HEALTHBAR
16000	0	0	8	49	60
16001	8	0	16	49	60
16002	16	0	24	49	60
16003	24	0	32	49	60
16004	32	0	40	49	60
16005	40	0	48	49	60
16006	48	0	56	49	60
16007	56	0	64	49	60
16008	64	0	72	49	60

#HOV TEXT
16100	0	0	8	17	61

# OBJECT
# POWER
10001	255	109	271	125	0
# HOVER
10002	105	109	121	125	0
# GUN
10003	5	59	21	75	0
# HOMING MISSLE
10004	105	59	121	75	0
# MULTI WARHEAD
10005	205	109	221	125	0
# THUNDER BREAK
10006	155	109	171	125	0
#BOSS DROP
10007	105	9	121	25	0

# JUMPER
10101	0	0	18	26	1
10102	19	0	37	26	1
10103	38	0	57	26	1
#FLOATER
10201	0	0	20	18	2
10202	20	0	40	18	2
# MINE
10301	0	0	15	9	3
10302	15	0	30	9	3
# DOME
10401	0	0	16	16	4
10402	16	0	32	16	4
# WORM
10501	0	0	19	12	5
10502	19	0	38	12	5
# INSECT
10601	0	0	19	19	6
10602	20	0	39	19	6
# SKULL
10701	0	0	19	22	7
10702	20	0	39	22	7
# ORB
10901	0	0	18	18	9
10902	18	0	36	18	9
10903	36	0	54	18	9
10904	54	0	72	18	9
10905	72	0	90	18	9
# TELEPORTER
11001	0	0	26	33	10
11002	27	0	53	33	10
# SHIP
12701	0	0	30	20	27
